Email Address,"Captain's Name (Last, First)",Names of Partners,"Event Acronym (If an event is not on this list, then it is not offered at the Mock Conference)",Name of partner 1 (First Last),"Name of Partner 1 (Last, First) - Only for team events, not individual roleplays",Name of Partner 2 (First Last),"Name of Partner 2 (Last, First) - Only for team events, not individual roleplays",Email of Partner 1 (warriorlife),Email of Partner 2 (warriorlife)
gio.ivanov@example.edu,"Ivanov, Gio",,MCS,,,,,,
vin.underwood@example.edu,"Underwood, Vin",,PEN,,,,,,
jules.zamora@example.edu,"Zamora, Jules",,PFN,,,,,,
zara.nesbitt@example.edu,"Nesbitt, Zara",,PBM,,,,,,
bellamy.ashby@example.edu,"Ashby, Bellamy",,PEN,,,,,,
kai.nesbitt@example.edu,"Nesbitt, Kai",,PMK,,,,,,
haven.bellweather@example.edu,"Bellweather, Haven",,PMK,,,,,,
zara.quimby@example.edu,"Quimby, Zara",,ENT,,,,,,
river.lemoine@example.edu,"Lemoine, River",Gale Grimsby,TTDM,Gale Grimsby,"Grimsby, Gale",,,gale.grimsby@example.edu,
fern.abbott@example.edu,"Abbott, Fern",,PMK,,,,,,
ford.kingsley@example.edu,"Kingsley, Ford",,PHT,,,,,,
gio.dorsey@example.edu,"Dorsey, Gio",,PHT,,,,,,
adrian.ellingham@example.edu,"Ellingham, Adrian",,PEN,,,,,,
remy.ormsby@example.edu,"Ormsby, Remy",,PMK,,,,,,
sol.ingram@example.edu,"Ingram, Sol",,PEN,,,,,,
skyler.gilchrist@example.edu,"Gilchrist, Skyler",,PFN,,,,,,
nox.rutherford@example.edu,"Rutherford, Nox",,PBM,,,,,,
umi.mortimer@example.edu,"Mortimer, Umi",,PFN,,,,,,
zion.somerset@example.edu,"Somerset, Zion",,PHT,,,,,,
opal.thackery@example.edu,"Thackery, Opal",,PEN,,,,,,
nell.marbury@example.edu,"Marbury, Nell",Lumen Tremaine,BTDM,Lumen Tremaine,"Tremaine, Lumen",,,lumen.tremaine@example.edu,
rory.zaragoza@example.edu,"Zaragoza, Rory",,PEN,,,,,,
kai.umberto@example.edu,"Umberto, Kai",,PEN,,,,,,
sasha.thackery@example.edu,"Thackery, Sasha",,PFN,,,,,,
gio.stroud@example.edu,"Stroud, Gio",,HRM,,,,,,
onyx.gilchrist@example.edu,"Gilchrist, Onyx",,HRM,,,,,,
rory.zimmerman@example.edu,"Zimmerman, Rory",Ollie Ulster,MTDM,Ollie Ulster,"Ulster, Ollie",,,ollie.ulster@example.edu,
quinn.prescott@example.edu,"Prescott, Quinn",,PBM,,,,,,
river.cranfield@example.edu,"Cranfield, River",Umi Grimsby,BTDM,Umi Grimsby,"Grimsby, Umi",,,umi.grimsby@example.edu,
umi.grimsby@example.edu,"Grimsby, Umi",River Cranfield,BTDM,River Cranfield,"Cranfield, River",,,river.cranfield@example.edu,
remy.fitzgerald@example.edu,"Fitzgerald, Remy",,PFN,,,,,,
rune.hollingsworth@example.edu,"Hollingsworth, Rune",,PHT,,,,,,
opal.granger@example.edu,"Granger, Opal",,PHT,,,,,,
maren.hemsworth@example.edu,"Hemsworth, Maren",,PMK,,,,,,
sable.stroud@example.edu,"Stroud, Sable",,HRM,,,,,,
shiloh.ellingham@example.edu,"Ellingham, Shiloh",Shiloh Quarles,STDM,Shiloh Quarles,"Quarles, Shiloh",,,shiloh.quarles@example.edu,
jesse.castellano@example.edu,"Castellano, Jesse",,PFL,,,,,,
denver.danforth@example.edu,"Danforth, Denver",,PEN,,,,,,
denver.jorgensen@example.edu,"Jorgensen, Denver",,PEN,,,,,,
echo.harrowgate@example.edu,"Harrowgate, Echo",,PMK,,,,,,
tatum.bracken@example.edu,"Bracken, Tatum",,AAM,,,,,,
fable.quintanilla@example.edu,"Quintanilla, Fable",,MCS,,,,,,
oakley.hawthorne@example.edu,"Hawthorne, Oakley",,PEN,,,,,,
rory.nakamura@example.edu,"Nakamura, Rory",,PFN,,,,,,
cody.quintero@example.edu,"Quintero, Cody",,PBM,,,,,,
hollis.kirkpatrick@example.edu,"Kirkpatrick, Hollis",,PHT,,,,,,
caelan.novak@example.edu,"Novak, Caelan",,PMK,,,,,,
remy.hemsworth@example.edu,"Hemsworth, Remy",,PMK,,,,,,
denver.chandler@example.edu,"Chandler, Denver",,PFN,,,,,,
casey.quintanilla@example.edu,"Quintanilla, Casey",,PMK,,,,,,
vera.jessup@example.edu,"Jessup, Vera",,PMK,,,,,,
linden.larkspur@example.edu,"Larkspur, Linden",,PEN,,,,,,
rune.hemsworth@example.edu,"Hemsworth, Rune",,PEN,,,,,,
winter.selwyn@example.edu,"Selwyn, Winter",,RFSM,,,,,,
nova.halloway@example.edu,"Halloway, Nova",,FMS,,,,,,
ember.upshaw@example.edu,"Upshaw, Ember",,RFSM,,,,,,
cameron.fitzgerald@example.edu,"Fitzgerald, Cameron",,ENT,,,,,,
ollie.ulster@example.edu,"Ulster, Ollie",Rory Zimmerman,MTDM,Rory Zimmerman,"Zimmerman, Rory",,,rory.zimmerman@example.edu,
avery.lockwood@example.edu,"Lockwood, Avery",,HRM,,,,,,
adrian.ibsen@example.edu,"Ibsen, Adrian",,ASM,,,,,,
jamie.alderton@example.edu,"Alderton, Jamie",,SEM,,,,,,
yara.rutherford@example.edu,"Rutherford, Yara",Iris Nesbitt,MTDM,Iris Nesbitt,"Nesbitt, Iris",,,iris.nesbitt@example.edu,
dov.northcott@example.edu,"Northcott, Dov",,HLM,,,,,,
odin.wexford@example.edu,"Wexford, Odin",,QSRM,,,,,,
lior.wrenfield@example.edu,"Wrenfield, Lior",Cameron Quimby,FTDM,Cameron Quimby,"Quimby, Cameron",,,cameron.quimby@example.edu,
noel.thornbury@example.edu,"Thornbury, Noel",,ENT,,,,,,
opal.vasquez@example.edu,"Vasquez, Opal",,HLM,,,,,,
lumen.brightwater@example.edu,"Brightwater, Lumen",,FMS,,,,,,
cyan.ashby@example.edu,"Ashby, Cyan",Dune Vandergrift,TTDM,Dune Vandergrift,"Vandergrift, Dune",,,dune.vandergrift@example.edu,
